listing_id,price,room_type,neighbourhood,cluster
2539,149,Private room,Kensington,0
2595,225,Entire home/apt,Midtown,0
3647,150,Private room,Harlem,0
3831,89,Entire home/apt,Clinton Hill,3
5022,80,Entire home/apt,East Harlem,2
5099,200,Entire home/apt,Murray Hill,2
5121,60,Private room,Bedford-Stuyvesant,2
5178,79,Private room,Hell's Kitchen,3
5203,79,Private room,Upper West Side,3
5238,150,Entire home/apt,Chinatown,3
5295,135,Entire home/apt,Upper West Side,2
5441,85,Private room,Hell's Kitchen,3
5803,89,Private room,South Slope,3
6021,85,Private room,Upper West Side,3
6090,120,Entire home/apt,West Village,2
6848,140,Entire home/apt,Williamsburg,3
7097,215,Entire home/apt,Fort Greene,3
7322,140,Private room,Chelsea,3
7726,99,Entire home/apt,Crown Heights,2
7750,190,Entire home/apt,East Harlem,0
7801,299,Entire home/apt,Williamsburg,2
8024,130,Private room,Park Slope,3
8025,80,Private room,Park Slope,0
8110,110,Private room,Park Slope,0
8490,120,Entire home/apt,Bedford-Stuyvesant,3
8505,60,Private room,Windsor Terrace,2
8700,80,Private room,Inwood,2
9357,150,Entire home/apt,Hell's Kitchen,2
9518,44,Private room,Inwood,3
9657,180,Entire home/apt,East Village,2
9668,50,Private room,Harlem,3
9704,52,Private room,Harlem,3
9782,55,Private room,Greenpoint,3
9783,50,Private room,Harlem,3
10452,70,Private room,Bedford-Stuyvesant,0
10962,89,Private room,South Slope,3
11452,35,Private room,Bedford-Stuyvesant,0
11708,85,Entire home/apt,Bushwick,3
11943,150,Private room,Flatbush,0
12048,40,Shared room,Lower East Side,3
12192,68,Private room,East Village,3
12299,120,Entire home/apt,South Slope,0
12303,120,Private room,Fort Greene,0
12318,135,Private room,Upper West Side,0
12343,150,Entire home/apt,Harlem,3
12627,150,Entire home/apt,Prospect-Lefferts Gardens,2
12937,130,Private room,Long Island City,3
12940,110,Entire home/apt,Bedford-Stuyvesant,0
13050,115,Entire home/apt,Bedford-Stuyvesant,2
13394,80,Private room,Fort Greene,3
13808,80,Private room,Bedford-Stuyvesant,3
14287,151,Entire home/apt,Upper West Side,0
14290,228,Entire home/apt,Williamsburg,3
14314,144,Entire home/apt,Greenpoint,3
14322,200,Entire home/apt,Kips Bay,0
14377,150,Entire home/apt,Williamsburg,3
14991,110,Private room,Lower East Side,0
15220,69,Private room,Hell's Kitchen,3
15338,49,Private room,Greenpoint,3
15341,180,Entire home/apt,SoHo,0
15385,80,Private room,Williamsburg,0
15396,375,Entire home/apt,Chelsea,0
15711,250,Entire home/apt,Upper East Side,0
16326,200,Entire home/apt,Prospect Heights,3
16338,55,Private room,Clinton Hill,0
16421,52,Private room,Hell's Kitchen,3
16458,225,Entire home/apt,Park Slope,2
16580,80,Private room,East Village,3
16595,275,Entire home/apt,Williamsburg,3
16821,99,Private room,East Village,3
16974,225,Entire home/apt,East Harlem,3
17037,230,Entire home/apt,East Village,2
17092,51,Private room,Hell's Kitchen,2
17693,65,Private room,Washington Heights,0
