unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,vehicle_type,closed_date,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,taxi_company_borough,data_source,extraction_timestamp
66778147,2025-11-10T01:50:51.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10465,3286 RADIO DRIVE,RADIO DRIVE,GRISWOLD AVENUE,BEND,GRISWOLD AVENUE,BEND,ADDRESS,BRONX,RADIO DRIVE,In Progress,10 BRONX,2054140113,BRONX,1034564,246662,ONLINE,Unspecified,BRONX,40.84356202395745,-73.81815325101906,"{'latitude': '40.84356202395745', 'longitude': '-73.81815325101906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66780206,2025-11-10T01:49:45.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10025,2680 BROADWAY,BROADWAY,WEST  102 STREET,WEST  103 STREET,WEST  102 STREET,WEST  103 STREET,ADDRESS,NEW YORK,BROADWAY,In Progress,07 MANHATTAN,1018740022,MANHATTAN,992863,230234,ONLINE,Unspecified,MANHATTAN,40.7986109485515,-73.96889161417334,"{'latitude': '40.7986109485515', 'longitude': '-73.96889161417334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Truck,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66777208,2025-11-10T01:47:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,157 NAGLE AVENUE,NAGLE AVENUE,ARDEN STREET,THAYER STREET,ARDEN STREET,THAYER STREET,ADDRESS,NEW YORK,NAGLE AVENUE,In Progress,12 MANHATTAN,1021730029,MANHATTAN,1004751,253034,MOBILE,Unspecified,MANHATTAN,40.86117080770446,-73.92588494147341,"{'latitude': '40.86117080770446', 'longitude': '-73.92588494147341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66779171,2025-11-10T01:47:12.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,1358 DAHILL ROAD,DAHILL ROAD,60 STREET,61 STREET,60 STREET,61 STREET,ADDRESS,BROOKLYN,DAHILL ROAD,In Progress,12 BROOKLYN,,BROOKLYN,991152,163157,MOBILE,Unspecified,BROOKLYN,40.61450200215088,-73.97514014922876,"{'latitude': '40.61450200215088', 'longitude': '-73.97514014922876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66779189,2025-11-10T01:47:09.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11221,1108 GATES AVENUE,GATES AVENUE,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,GATES AVENUE,In Progress,04 BROOKLYN,3033390011,BROOKLYN,1006077,190769,ONLINE,Unspecified,BROOKLYN,40.690266694713586,-73.92129345228891,"{'latitude': '40.690266694713586', 'longitude': '-73.92129345228891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66773327,2025-11-10T01:46:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10036,653 11 AVENUE,11 AVENUE,WEST   47 STREET,WEST   48 STREET,WEST   47 STREET,WEST   48 STREET,ADDRESS,NEW YORK,11 AVENUE,In Progress,04 MANHATTAN,1010950035,MANHATTAN,985418,217738,ONLINE,Unspecified,MANHATTAN,40.76431686260587,-73.9957835963077,"{'latitude': '40.76431686260587', 'longitude': '-73.9957835963077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774252,2025-11-10T01:46:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11420,130-99 132 STREET,132 STREET,SUTTER AVENUE,131 AVENUE,SUTTER AVENUE,131 AVENUE,ADDRESS,SOUTH OZONE PARK,132 STREET,In Progress,10 QUEENS,,QUEENS,1037954,183780,MOBILE,Unspecified,QUEENS,40.67094750245155,-73.80640330903259,"{'latitude': '40.67094750245155', 'longitude': '-73.80640330903259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66773255,2025-11-10T01:45:49.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10465,2705 HARDING AVENUE,HARDING AVENUE,GRAFF AVENUE,BALCOM AVENUE,GRAFF AVENUE,BALCOM AVENUE,ADDRESS,BRONX,HARDING AVENUE,In Progress,10 BRONX,2055960008,BRONX,1033320,236070,PHONE,Unspecified,BRONX,40.81449707417731,-73.82272682246642,"{'latitude': '40.81449707417731', 'longitude': '-73.82272682246642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66777122,2025-11-10T01:45:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,532 EAST   39 STREET,EAST   39 STREET,CORTELYOU ROAD,CLARENDON ROAD,CORTELYOU ROAD,CLARENDON ROAD,ADDRESS,BROOKLYN,EAST   39 STREET,In Progress,17 BROOKLYN,3049380010,BROOKLYN,1000838,174015,PHONE,Unspecified,BROOKLYN,40.64429207582377,-73.94022611661715,"{'latitude': '40.64429207582377', 'longitude': '-73.94022611661715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774366,2025-11-10T01:44:28.000,NYPD,New York City Police Department,Encampment,N/A,Park/Playground,10009,401 EAST   11 STREET,EAST   11 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   11 STREET,In Progress,03 MANHATTAN,1004390001,MANHATTAN,988778,204958,MOBILE,N/A,MANHATTAN,40.72923788984309,-73.98366282032691,"{'latitude': '40.72923788984309', 'longitude': '-73.98366282032691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
