last_review,date_id,year,month,day,weekday
2018-10-19,1,2018.0,10.0,19.0,Friday
2019-05-21,2,2019.0,5.0,21.0,Tuesday
,3,,,,
2019-07-05,4,2019.0,7.0,5.0,Friday
2018-11-19,5,2018.0,11.0,19.0,Monday
2019-06-22,6,2019.0,6.0,22.0,Saturday
2017-10-05,7,2017.0,10.0,5.0,Thursday
2019-06-24,8,2019.0,6.0,24.0,Monday
2017-07-21,9,2017.0,7.0,21.0,Friday
2019-06-09,10,2019.0,6.0,9.0,Sunday
2019-06-23,11,2019.0,6.0,23.0,Sunday
2018-10-31,12,2018.0,10.0,31.0,Wednesday
2019-06-29,13,2019.0,6.0,29.0,Saturday
2019-06-28,14,2019.0,6.0,28.0,Friday
2019-07-01,15,2019.0,7.0,1.0,Monday
2011-12-28,16,2011.0,12.0,28.0,Wednesday
2019-01-01,17,2019.0,1.0,1.0,Tuesday
2019-07-02,18,2019.0,7.0,2.0,Tuesday
2019-06-19,19,2019.0,6.0,19.0,Wednesday
2017-08-13,20,2017.0,8.0,13.0,Sunday
2019-06-15,21,2019.0,6.0,15.0,Saturday
2019-04-19,22,2019.0,4.0,19.0,Friday
2019-06-01,23,2019.0,6.0,1.0,Saturday
2019-06-14,24,2019.0,6.0,14.0,Friday
2019-05-12,25,2019.0,5.0,12.0,Sunday
2019-06-21,26,2019.0,6.0,21.0,Friday
2019-05-27,27,2019.0,5.0,27.0,Monday
2018-09-30,28,2018.0,9.0,30.0,Sunday
2019-06-16,29,2019.0,6.0,16.0,Sunday
2019-06-13,30,2019.0,6.0,13.0,Thursday
2019-06-05,31,2019.0,6.0,5.0,Wednesday
2019-05-25,32,2019.0,5.0,25.0,Saturday
2017-01-01,33,2017.0,1.0,1.0,Sunday
2019-06-17,34,2019.0,6.0,17.0,Monday
2019-07-07,35,2019.0,7.0,7.0,Sunday
2019-05-17,36,2019.0,5.0,17.0,Friday
2019-03-25,37,2019.0,3.0,25.0,Monday
2019-05-18,38,2019.0,5.0,18.0,Saturday
2019-06-04,39,2019.0,6.0,4.0,Tuesday
2019-06-30,40,2019.0,6.0,30.0,Sunday
2018-11-03,41,2018.0,11.0,3.0,Saturday
2019-03-30,42,2019.0,3.0,30.0,Saturday
2019-01-26,43,2019.0,1.0,26.0,Saturday
2017-09-30,44,2017.0,9.0,30.0,Saturday
2019-05-16,45,2019.0,5.0,16.0,Thursday
2017-09-24,46,2017.0,9.0,24.0,Sunday
2018-05-14,47,2018.0,5.0,14.0,Monday
2019-06-18,48,2019.0,6.0,18.0,Tuesday
2019-06-26,49,2019.0,6.0,26.0,Wednesday
2019-01-02,50,2019.0,1.0,2.0,Wednesday
2019-07-06,51,2019.0,7.0,6.0,Saturday
2019-05-31,52,2019.0,5.0,31.0,Friday
2019-05-28,53,2019.0,5.0,28.0,Tuesday
2019-04-22,54,2019.0,4.0,22.0,Monday
2019-03-23,55,2019.0,3.0,23.0,Saturday
2019-04-08,56,2019.0,4.0,8.0,Monday
2016-08-04,57,2016.0,8.0,4.0,Thursday
2018-08-09,58,2018.0,8.0,9.0,Thursday
2016-02-14,59,2016.0,2.0,14.0,Sunday
2019-05-26,60,2019.0,5.0,26.0,Sunday
2019-06-27,61,2019.0,6.0,27.0,Thursday
2018-07-22,62,2018.0,7.0,22.0,Sunday
2018-10-09,63,2018.0,10.0,9.0,Tuesday
2019-05-01,64,2019.0,5.0,1.0,Wednesday
2018-10-28,65,2018.0,10.0,28.0,Sunday
2019-01-03,66,2019.0,1.0,3.0,Thursday
2012-11-01,67,2012.0,11.0,1.0,Thursday
2019-05-29,68,2019.0,5.0,29.0,Wednesday
2018-11-02,69,2018.0,11.0,2.0,Friday
2018-05-26,70,2018.0,5.0,26.0,Saturday
2017-03-17,71,2017.0,3.0,17.0,Friday
2019-06-02,72,2019.0,6.0,2.0,Sunday
2017-12-11,73,2017.0,12.0,11.0,Monday
2018-12-30,74,2018.0,12.0,30.0,Sunday
2017-08-09,75,2017.0,8.0,9.0,Wednesday
2015-12-02,76,2015.0,12.0,2.0,Wednesday
2019-04-27,77,2019.0,4.0,27.0,Saturday
2019-06-07,78,2019.0,6.0,7.0,Friday
2019-05-20,79,2019.0,5.0,20.0,Monday
2011-12-10,80,2011.0,12.0,10.0,Saturday
2018-10-05,81,2018.0,10.0,5.0,Friday
2011-09-18,82,2011.0,9.0,18.0,Sunday
2017-08-15,83,2017.0,8.0,15.0,Tuesday
2017-08-17,84,2017.0,8.0,17.0,Thursday
2019-05-14,85,2019.0,5.0,14.0,Tuesday
2019-06-20,86,2019.0,6.0,20.0,Thursday
2019-07-03,87,2019.0,7.0,3.0,Wednesday
2019-06-25,88,2019.0,6.0,25.0,Tuesday
2017-07-30,89,2017.0,7.0,30.0,Sunday
2018-06-11,90,2018.0,6.0,11.0,Monday
2016-04-24,91,2016.0,4.0,24.0,Sunday
2011-09-19,92,2011.0,9.0,19.0,Monday
2013-05-10,93,2013.0,5.0,10.0,Friday
2018-08-27,94,2018.0,8.0,27.0,Monday
2017-05-29,95,2017.0,5.0,29.0,Monday
2019-03-31,96,2019.0,3.0,31.0,Sunday
2018-12-27,97,2018.0,12.0,27.0,Thursday
2018-12-31,98,2018.0,12.0,31.0,Monday
2019-06-08,99,2019.0,6.0,8.0,Saturday
2019-04-12,100,2019.0,4.0,12.0,Friday
2011-04-25,101,2011.0,4.0,25.0,Monday
2016-09-23,102,2016.0,9.0,23.0,Friday
2015-11-02,103,2015.0,11.0,2.0,Monday
2019-07-04,104,2019.0,7.0,4.0,Thursday
2016-07-06,105,2016.0,7.0,6.0,Wednesday
2016-04-20,106,2016.0,4.0,20.0,Wednesday
2018-12-17,107,2018.0,12.0,17.0,Monday
2019-05-19,108,2019.0,5.0,19.0,Sunday
2012-09-03,109,2012.0,9.0,3.0,Monday
2015-07-17,110,2015.0,7.0,17.0,Friday
2017-11-13,111,2017.0,11.0,13.0,Monday
2015-05-09,112,2015.0,5.0,9.0,Saturday
2015-10-08,113,2015.0,10.0,8.0,Thursday
2014-01-07,114,2014.0,1.0,7.0,Tuesday
2019-06-06,115,2019.0,6.0,6.0,Thursday
2018-12-05,116,2018.0,12.0,5.0,Wednesday
2019-06-10,117,2019.0,6.0,10.0,Monday
2019-06-03,118,2019.0,6.0,3.0,Monday
