listing_id,listing_name
2539,Clean & quiet apt home by the park
2595,Skylit Midtown Castle
3647,THE VILLAGE OF HARLEM....NEW YORK !
3831,Cozy Entire Floor of Brownstone
5022,Entire Apt: Spacious Studio/Loft by central park
5099,Large Cozy 1 BR Apartment In Midtown East
5121,BlissArtsSpace!
5178,Large Furnished Room Near B'way 
5203,Cozy Clean Guest Room - Family Apt
5238,Cute & Cozy Lower East Side 1 bdrm
5295,Beautiful 1br on Upper West Side
5441,Central Manhattan/near Broadway
5803,"Lovely Room 1, Garden, Best Area, Legal rental"
6021,Wonderful Guest Bedroom in Manhattan for SINGLES
6090,West Village Nest - Superhost
6848,Only 2 stops to Manhattan studio
7097,Perfect for Your Parents + Garden
7322,Chelsea Perfect
7726,Hip Historic Brownstone Apartment with Backyard
7750,Huge 2 BR Upper East  Cental Park
7801,Sweet and Spacious Brooklyn Loft
8024,CBG CtyBGd HelpsHaiti rm#1:1-4
8025,CBG Helps Haiti Room#2.5
8110,CBG Helps Haiti Rm #2
8490,"MAISON DES SIRENES1,bohemian apartment"
8505,Sunny Bedroom Across Prospect Park
8700,Magnifique Suite au N de Manhattan - vue Cloitres
9357,Midtown Pied-a-terre
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM"
9657,Modern 1 BR / NYC / EAST VILLAGE
9668,front room/double bed
9704,Spacious 1 bedroom in luxe building
9782,Loft in Williamsburg Area w/ Roof
9783,back room/bunk beds
10452,Large B&B Style rooms
10962,"Lovely room 2 & garden; Best area, Legal rental"
11452,Clean and Quiet in Brooklyn
11708,Cute apt in artist's home
11943,Country space in the city
12048,LowerEastSide apt share shortterm 1
12192,ENJOY Downtown NYC!
12299,Beautiful Sunny Park Slope Brooklyn
12303,1bdr w private bath. in lofty apt
12318,West Side Retreat
12343,BEST BET IN HARLEM
12627,Entire apartment in central Brooklyn neighborhood.
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block"
12940,Charming Brownstone 3 - Near PRATT
13050,bright and stylish duplex
13394,Fort Greene brownstone 
13808,Blue Room for 2 in Brownstone for $1350 monthly
14287,Cozy 1BD on Central Park West in New York City
14290,* ORIGINAL BROOKLYN LOFT *
14314,Greenpoint Place...Has It All! 
14322,Beautiful Apartment in Manhattan!!!
14377,Williamsburg 1 bedroom Apartment
14991,"Great Location, Manhattan Bedroom!"
15220,Best Location in NYC! TIMES SQUARE!
15338,Room in Greenpoint Loft w/ Roof
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**
15385,"Very, very cozy place"
15396,Sunny & Spacious Chelsea Apartment
15711,2 bedroom - Upper East Side-great for kids
16326,Comfortable 4-bedroom apt in family house.
16338,Double Room w Private Deck Clinton Hill Best Area
16421,Your Heaven in Hells Kitchen
16458,Light-filled 2B duplex in the heart of Park Slope!
16580,"Sunny, Modern room in East Village!"
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*
16821,Large Room in Amazing East Village Apt
16974,SpaHa Loft: Enormous and Bright
17037,Lovely EV Artist's Home
17092,Cool Room in Hell's Kitchen
17693,"HARLEM, NEW YORK WELCOMES YOU!!"
17747,BLUE TRIM GUEST HOUSE
18127,Charming East Village One Bedroom Flat
18152,Manhattan Room
18198,Little King of Queens
18590,Fort Greene Retreat on the Park
18728,Beautiful Meatpacking District Loft
18764,Cozy 2 BR in Williamsburg 
19159,Spacious luminous apt Upper West NYC
19169,Entire 2 Bedroom - Large & Sunny
19282,"Sunny, Spacious Top Floor Haven"
19319,Private room Great Deal at Lower East Side
19601,perfect for a family or small group
19812,2 bedroom Williamsburg Apt - Bedford L stop
20299,Oh glorious spring!
20300,Great Location for NYC
20611,Cozy Bedroom in Williamsburg 3 BR
20724,Sunny room+Pvte office in huge loft
20734,Spacious Prospect Heights Apartment
20755,"Large Parlor Room, Landmark Home 1 block to PRATT"
20853,2-bed brownstone duplex + garden
20913,Charming 1 bed GR8 WBurg LOCATION!
21293,Sunny Apartment in Artist Home
21456,Light-filled classic Central Park 
21644,"Upper Manhattan, New York"
21794,COZY QUIET room 4 DOOGLERS!
22911,The Stuydio Modern and Light Filled
22918,loft bed - near transportation-15min to times sq
23135,House On Henry (3rd FLR Suite)
23501,Monkey Retreat Manhattan
23686,2000 SF 3br 2bath West Village private  townhouse
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony"
24285,Beautiful Duplex Apartment
25235,Large 2 Bedroom Great for Groups!
25406,"Modern Brooklyn Apt., August sublet"
25696,"1,800 sq foot in luxury building"
26012,Sunny 2-story Brooklyn townhouse w deck and garden
26362,"Times Square, Safe, Clean and Cozy!"
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT"
26559,Beautiful Apartment East Village
26785,Park Slope Green Guest House
26933,2 BR / 2 Bath Duplex Apt with patio! East Village
26954,NYC fabulous views Manhattan's eye
26969,2 story family home in Williamsburg
27006,Comfortable UWS 2-BD Family-Friendly Brownstone
27385,Great Large 1 BR apt  in East Village!
27531,Eveland Private Bed & Living Room w/ Own Entrance
27644,Sugar Hill Rest Stop 
27659,3 Story Town House in Park Slope
27759,apartment next to Central park
27883,East Village Sanctuary
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.
28396,Modern Apt with Spectacular Views
28907,Garden studio in the Upper East Sid
29012,Secluded Master Bedroom in Beautiful Huge Apt
29013,B & B Room 1
29455,ACCOMMODATIONS GALORE #1
29628,Sunny Room in New Condo
29683,Stylish & Sleek Apartment Near SoHo!
30031,NYC artists’ loft with roof deck
30927,Unique & Charming small 1br Apt. LES
31130,Most Central Location!
31555,Luminous Beautiful West Village Studio
31902,Sanctuary in East Flatbush
31994,Room with En Suite Bathroom & Deck
32023,FLAT MACDONOUGH
32037,Huge Private  Floor at The Waverly
32100,"Modern Greenpoint, Brooklyn Apt"
32289,"Sun-drenched, artsy modernist 1 BDRM duplex"
32331,"Sunny, Cobble Hill Apartment"
32363,Fully Furnished Basement Apartment
32965,FLAT MACDONOUGH GARDEN
32969,Light filled Williamsburg Apartment
33009,Retreat in Williamsburg
33014,NYC Zen
33223,Cozy BR in Wiliamsburg 3 Bedroom
34760,Sunny Room in Old Historical Brooklyn Townhouse
35526,Sun Filled Classic West Village Apt
36121,Lg Rm in Historic Prospect Heights
36133,Classic Artist Loft Williamsburg
36442,Great location. Spacious on PROSPECT PARK
36647,Private Bdrm/Bathrm. New! Elevator!
36703,"Sunny, clean 1 bdrm in W. Village"
36934,Great location in Williamsburg
38638,Light and Airy Upper East Side 1 BDR apartment
38663,Luxury Brownstone in Boerum Hill
39267,CENTRAL PARK LOFT all for YOU
39282,Indie-Chic Share In Williamsburg
39593,"A room w/ a Manhattan view, longer stay"
39704,"Private, Large & Sunny 1BR w/W&D"
40039,Luxurious Condo in DUBMO with View
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!
41348,* Spacious GARDEN Park Slope Duplex* 6 people max
41513,Convenient cozy cheap apt Manhattan
42580,Parlor Room In Victorian Townhouse
42729,House On Henry (2nd FLR Suite)
42882,New York room with a view
43957,Sunny cozy room in Brklyn townhouse
44096,Room with a View
44161,Light+Open+Airy+Rustic+Modern Loft
44212,West Inn 2 - East Village
44221,Financial District Luxury Loft
44229,BROOKLYN VICTORIAN STYLE SUITE.....
44288,Your own Lovely West Village Studio
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS
45393,Greenwich Village Stylish Apartment
45542,Clean and Cozy Harlem Apartment
45556,"Fort Greene, Brooklyn: Center Bedroom"
45910,Beautiful Queens Brownstone! - 5BR
45936,Couldn't Be Closer To Columbia Uni
45940,Bright Spacious Luxury Condo
46544,Park Slope haven 15 mins from Soho
46723,SAFE  AND BEAUTIFUL ACCOMODATION
46911,Large Room in private Brownstone in Park Slope
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)"
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!"
47370,Chelsea Studio sublet 1 - 2 months
47926,LUX APT IN TIMES SQUARE NEW BUILDING
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities
51438,1 Bedroom in 2 Bdrm Apt- Upper East
51485,Lower East Side $57~/night
51572,Prime Location in Manhattan
51850,( F) Excellent/Pvt Rm
53137,"Quiet, sunny Midtown Manhattan apt."
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ
53469,cozy studio with parking spot
53470,Clean and convenient 2BR apartment
53477,3 floors of luxury!
54158,The Institute—Heart of Williamsburg
54453,MIDTOWN WEST - Large alcove studio
54466,Beautiful Uptown Manhattan apartmnt
54508,Sml Rm in pr Brst  Park Sl great for Med/students
54544,City Room - Private Penthouse Apt.
54626,Cozy bedroom by Yankee Stadium
54860,Great apartment with private bathroom and entrance
55467,Private Garden Apt • New Renovation
55498,Modern comfort in art infused landmark Brownstone
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH"
55737,Sleek & Comfortable Soho Apt
55959,Spacious Williamsburg Share w/ LOFT BED
55982,Cozy 2 br in sunny Fort Greene apt
56467,Cozy East Village Railroad 1 Bed!
56525,1 Bedroom Loft w/ Private Roof Deck
56859,City Room - Private & Comfy Bedroom
57166,Elegant NYC Pad
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!"
57468,"Modern, Large East Village Loft"
57618,"Great new apt, close to everything"
57740,Quiet & Clean Retreat in the City
57754,Stylish Large Gramercy Loft!
57874,The Brownstone-Luxury 1 Bd Apt/NYC
58059,PRIVATE Room on Historic Sugar Hill
58062,South Slope Green
58467,"17 Flr. Manhattan Views, Nr. Subway"
59014,"Spacious 1BR, Adorable Clean Quiet"
59121,"Nice, clean, safe, convenient 3BR"
59642,Franklin St Flat in Trendy Greenpoint Brooklyn
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5"
59855,One bedroom Apt. in NYC
60164,"Beautiful, elegant 3 bed SOHO loft"
60457,Spacious Greenwich Village Apt
60611,SpaHa Studio Monthly Rental
60666,City Room - Private Luxury Suite
60673,Private Room/bath Luxurious Harlem
60680,The gem of the East Village
60794,"Bright and spacious, garden below!"
60948,ACCOMMODATIONS GALORE #2
61167,Colorful Private One Bedroom Apt
61224,Huge Chelsea Loft
61406,Great room in great location
61492,Exclusive Room with Private Bath in  LES
61509,"Quiet, clean midtown apt w. elevato"
62095,BK Sweet Suite w/Kitchen&FullBath
62427,Great East Village Apartment Rental
62430,BROWNSTONE SUNDRENCHED BEAUTY
62452,A SpeciaL!! Private Room in NY
62461,B NYC Staten Alternative...
62787,C Private Room By The Ferry
62891,Smallest House In The Village
62903,Beautiful modern studio apartment in heart of NYC
62925,Beautiful Landmarked Duplex
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg
63320,D Private Che@p Room 2 Explore NYC
63360,Safe cute near subway& Manhattan NY NY retro style
63546,Large and Cozy Private Bedroom
63573,Small tidy bedroom in duplex
63588,LL3
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet
63657,"Private, Large & Sunny Top Floor Apt  w/W&D"
63693,Cottage in the Village
63719,BEDROOM1 FOR RENT 10min from Manhan
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM"
64000,Williamsburg near soho. / loftbed
64015,Prime East Village 1 Bedroom
64107,BROOKLYN  STUDIO APARTMENT
64277,BEDROOM2 FOR RENT  10min from Manh
64314,cozy bedroom in lovely garden apt
64365,Crown Heights Garden Apt.
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC
64837,ENJOY Downtown NYC!!
65019,Charming UWS Treehouse Apt
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn
65556,"Room in S3rd/Bedford, Williamsburg"
65562,CHARMING EAST VILLAGE 2 (or 1) BR
65615,Farmhouse Apartment in Williamsburg
65660,Bright+Spacious Williamsburg Abode!
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt"
65834,Beautiful 1 Bedroom Apt Park Slope
66008,CHARMING CARROLL GARDENS APT.
66026,Private Bedroom Brownstone Brooklyn
66251,East Village Loft with Piano & Patio
66275,Lower East Side Magic Room
66451,**Fantastic Williamsburg Apt**
66718,West Harlem Home Base - Eco-Apt.
66741,Charming Garden Apt in Park Slope
66974,"Lovely, Modern, Garden Apartment"
67288,Central Park 1BR sunny condo
67299,Cozy Garden Apartment  in Williamsburg
67397,SoHa comfort-by NW Central Park!
68099,Cozy room in Upper West Side
68305,Cozy Private Room in Apartment
68403,The Cozy Brownstone Inn (discount)!
68735,Prewar Penthouse w Private Terrace
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway
68900,Bright Beautiful Brooklyn
68974,Unique spacious loft on the Bowery
69894,"Nice renovated apt, prime location!"
69921,Brooklyn Writer's Nook
70095,Private Bedroom in Large NYC Apartment
70128,"Large, Sunny Room East Village NYC"
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!
71010,All That Jazz. Uptown style on Sugar Hill.
71248,Bright and lovely 1 bdrm apt in LES
71366,Beautiful One Bed West Village - 4 Month Special
71384,Gigantic Private Brooklyn Loft!
71812,Condo Apartment with laundry in unit
72190,1BR: See Central Park from Terrace!
72265,Private room in cozy Greenpoint
74073,Food & Music Dream Apartment in Williamsburg
74240,French Garden cottage off Bedford
74333,Alcove Studio w/ outdoor Patio Deck
74404,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace
74680,One Bedroom Mini studio - Free WIFI
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn"
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg
75635,Bright Cozy Chinatown Studio Apt.
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm
77765,Superior @ Box House
77936,Hells Kitchen Garden of Eden
78919,"Historic House Boerum Hill, BK, NYC"
79067,Lovely 3 bedroom in Italianate Brownstone w/garden
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!"
80493,Cozy room in East Village with AC
80684,Duplex w/ Terrace @ Box House Hotel
80700,Loft w/ Terrace @ Box House Hotel
80924,Spacious 3 Bedroom Duplex in Park Slope
81739,Loft w/ Terrace @ Box House Hotel
82549,Columbia Castle in Brooklyn Heights
82550,Columbia Castle 2 BR
82638,"Charming Artist's Flat, East Village"
82928,BEAUTIFUL 2 BEDROOM APARTMENT
83243,Brooklyn Cove Studio Apt w/ Garden!!
83446,"Ft. Greene garden gem, large and convenient"
83722,Williamsburg penthouse with private roof cabana
83847,East Village Designer's 1-BR APT
84010,Superior @ Box House
84059,So Much Room in Brooklyn
84659,Large Studio--Heart of East Village
84905,Huge.Bright.Clean.Safe. Private Room
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN
89427,The Brooklyn Waverly
89621,"WONDERFUL, COMFORTABLE STUDIO"
93313,MAISON DES SIRENES 2
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2"
94209,LARGE 1BR (CONV 2BR) CROWN HEIGHTS
94477,The Vernon On Greene
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt"
95747,Lovely 1BR in Tree-lined WBurg
95883,Spacious Loft in Clinton Hill
96471,"The Brooklyn Waverly, One Bedroom"
98330,LOVELY APARTMENT IN THE HEART OF NY
98663,Groovy NYC Chelsea Pad
99070,Comfortable Cozy Space in El Barrio
99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019
100002,"MANHATTAN Neat, Nice, Bright ROOM"
100184,Bienvenue
100186,Large Brand New Park Slope 1BR
101053,Colorful Artistic Williamsburg Apt
102995,UWS Brownstone Near Central Park
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg
103311,2 BR w/ Terrace @ Box House Hotel
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN
105469,Oceanfront Apartment in Rockaway
105510,Private 1-Bedroom Apt in Townhouse
106363,Bright Room With A Great River View
106647,Tree lined block modern apartment
107630,Sweet Historic Greenpoint Duplex
107895,Riverside Charm with Fire Place
110739,"Very Central, Nomad/Chelsea Loft Studio"
112100,Sunny 3BR Apt Ideal for Family  
112304,Cozy Private Room in West Harlem!
112359,UES Quiet & Spacious 1 bdrm for 4
112435,ALL ABOUT A VERY COMFORTABLE ROOM..
113265,Brooklyn- Crown Heights Garden Apt.
113945,Cozy room in Time Square!
114123,Large Park Slope Townhouse Duplex
114229,Lower East Side 2 Bedroom Apt
114969,"Manhattan Studio, Perfect Location"
115535,Sun-Drenched Hamilton Hts Jewel   
115678,Your Stunning Vacation Apartment!
115748,1 BDRM Apt-Weekend Sublease
116940,ROOM WITH A  KITCHENETTE
117425,"Conveniently Located, Sunny Brooklyn Heights!"
118061,Style in Stuyvesant Heights
118430,Heart of Meatpacking & Chelsea
118680,Spacious East Village apt near it all
120362,Williamsburg apartment right by the subway
121687,Spacious Brooklyn Loft - 2 Bedroom
121861,"Park Slope Apt:, Spacious 2 bedroom"
123784,NYC Studio for Rent in Townhouse
125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡
125163,Authentic New York City Living 
125594,SUPER BIG AND COZY PRIVATE BEDROOM
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests
126816,Gorgeous Upper West Side Apartment
127387,"Luxe, Spacious 2BR 2BA Nr Trains"
128975,City Room - Street View Apt
131154,Cozy and Bright One Bedroom in BK
132516,Forest Hills Apt minutes to midtown Manhattan
132570,Spacious West Village 1 b/room King
132695,Perfect Williamsburg Summer Haven
133025,Midtown cozy convenient
134934,Prime Williamsburg Apartment
135393,"Private, spacious room in Brooklyn"
135465,Garden apartment close to Manhattan
135706,The Ground Studio - West Side
136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace
138216,Sunny and Spacious Designer's Home
139624,"Spacious,Sunny, private one bedroom"
140133,Truly Amazing Oasis In The City
140425,Holiday Time in NY - Oh My!!
140973,"East Village, King-Sized, Charmer"
141154,Affordable Furnished Apartment
141335,Architect's Brownstone
141890,LUXURY SOHO 2 Bedroom Apt 
141984,Charming Nolita Apartment!!
142069,"EAST VILLAGE STUDIO, sunny & quiet"
144087,LUXURY OF THE HORIZON
144148,1 Bdrm in 4 Bdrm dupelx/roof deck
145064,The Heart of Prime Williamsburg
145188,Parisian apartment in Chelsea
145994,Cozy 2 Bedroom with Private Garden
146754,Three-bedroom house in a quiet neighborhood
147586,Beautiful Duplex w/Private Garden
148201,NYC - Sunny Greenwich Village 1br
148259,Garage Designer Loft
148825,Best City Area Columbia U Upper West Side C Park
149287,Your own apartment off Park Avenue
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!
150804,Lower East Side 2 Bed Apt.
151199,Astoria-Private Home NYC-
151478,"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC."
152071,Park Slope Apartment
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE
152259,City Room - Semi Private Bedroom
152263,Cozy apartment in a brownstone
152520,Female Only Clean15min to Manhattan
153405,Greenpoint Spacious Loft
153780,Private E. Village Townhouse Stay
154934,Harlem/Hamilton Heights Cozy Room
155296,Incredible Prime Williamsburg Loft!
157673,Large  Loft Style  Studio  Space
158061,Hancock Town House!-Stuyvesant Mews
158176,Entire Apt in Heart of Williamsburg
158290,Clinton Hill + Free Coffee = #smile
158913,"Nice, cozy, neat apt Greenpoint,BK"
158955,PRIVATE and SUNNY Williamsburg Apt!
159749,Purple Room for 2/3 in brownstone $1450 per month
159815,Red Room for two in Brownstone for $1355/mo
159913,"Chelsea living, 2BR best location"
160609,LOCATION LOCATION LOCATION UWS 60's
160994,In the heart of East Village
161366,Sunny 15min to Manhattan LADY only
161394,Surfer room 15mins to downtown NYC!
161996,Manhattan Penthouse-Max.12 guests
162493,Prime Williamsburg 3 BR with Deck
162508,Beautiful Brooklyn Oasis 
163627,Blue Room in Awesome Artist's Apartment!
163809,Cool & Spacious Harlem Artist Flat
163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆
163836,Greenpoint Loft / Le Chez Andrea
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*"
165080,Amazing Brownstone in Best Brooklyn
165461,Couldn't Be Closer To Columbia Uni2
165824,Lady only Curtain-divided room
166006,Nice Manhattan Apt Near Central Park and Subway
166172,LG Private Room/Family Friendly
166541,Spacious Quiet rm - 20mins to Midtown
166983,"3 BR, Beautiful Brooklyn Duplex"
167013,Spacious modern studio apartment in Manhattan
167017,Gorgeous Duplex + Garden
167222,CBG# 4Tiny room w/ huge window/AC
167482,Charming upper west side apartment
168084,Light-filled East Village Delight
168123,"Sunny, quiet, legal homelike suite-Pk Slope South"
168546,Spacious Duplex in Brownstone!
168810,Lovely Vintage Haven—Heart of UWS
169002,Modern Space in Charming Pre-war
169152,Warehouse Loft with Garden view
169306, Affordable & Cozy 
169464,Creative Vintage Loft in S. Williamsburg
169483,Very close to Downtown Awesome Private Apartment
170420,The Happy home!
170761,"Fort Greene, Brooklyn: Front Bedroom"
171776,Gorgeous 1 bdrm in huge duplex!
172700,"Sunny, cozy room in Lower East Side"
172870,Large Quiet Bedroom Near Columbia U
173072,Cozy Pre-War Harlem Apartment
173151,spacious studio
173742,"Elegant 2-BR duplex, Union Square"
174527,Cozy private family home in Bushwick
174966,Luxury 2Bed/2.5Bath Central Park View
176135,Cosy Sunny 1brm in Prospect Heights
176653,East Village bedroom w rooftop
176962,Williamsburg Home Away From Home!
177421,Brand New Beautiful Duplex Apartment with Garden
177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea"
177606,SPACIOUS ALCOVE STUDIO/ JUNIOR ONE
179670,High-end doorman bldg in the LES
179741,Spring & Mulberry 2 Bedroom Apartment
180507,Ultra Modern NYC Garden Apartment
180792,Modern Garden Apartment in NYC
181972,Gorgeous Entire Manhattan Townhouse
182069,Cozy studio Apartment in Upper East
182095,Historic classic central cozy Village clean NYU
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$
182649,Williamsburg bedroom by Bedford Ave
185266,Clean and bright with a comfortable atmosphere
187488,WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM
187566,Historic Brooklyn Studio Apartment
187986,Comfort at Crossroads of Downtown
188146,"""The Oasis"" on Bedford Williamsburg"
188661,"Large, sunny garden apartment."
188674,UNION SQUARE/ E. VILL 1BR BEAUTIFUL
189135,Hell's Kitchen Funky 80's Hideaway!
189181,Room in Chic Modern High Line Luxury- New!
189732,Family & Friends in New York City
189787,Spacious & Comfy BK Brownstone
190267,Large Luxury Upper East Side Studio
190542,Chateau Style Brooklyn Loft for Singles or Couples
190968,Lovely Brooklyn Brownstone 1BR!
190974,Beautiful Grdn. Apt. in Park Slope
191075,Sun-drenched East Village Penthouse
193105,Columbus Circle Luxury Bldg - Private Room&Bath
193333,Bright Private Bedroom in Williamsburg (Bedford L)
193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown"
193853,Quiet Chelsea Studio w/Charm
194154,Large Room Overlooking Central Park
195123,"Cheerful, comfortable room"
195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!
195240,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!"
195578,Loft Style Apt in Williamsburg
195971,2 Beds over Bed-Stuy
195989,"Sunny, Large, Park Slope Bedroom"
196010,Huge Bklyn Loft w Private Roofdeck
197155,Quiet Jr Alcove Near Times Square!
197753,Large room in elevator drman bldg
197942,"Comfy, Cozy, Brooklyn close to Manhattan"
199195,Modern Bedroom in Hamilton Heights
199312,Sunny Space in Williamsburg
200645,Best Manhattan Studio Deal!   
200955,STYLISH EAST VILLAGE FLAT
201992,Serene Park Slope Garden Apartment
202273,Cozy and spacious - rare for NYC!
203901,Beautiful UES apartment
204065,St. James Pl Garden Studio 1block to PRATT &Gtrain
204833,"Great, spacious apt in Williamsburg"
204959,Comfortable. Spacious. Private Room.
205043,Modern Condo in Midtown
205485,Ideal Brooklyn Brownstone Apartment
205735,"A Cozy Oasis in Bushwick, NY"
205867,Private Entrance - Private Parking
206071,Yankee Stadium Oasis 2 stops to Manhattan!
206316,"Sunny, Spacious Studio in Ft.Greene"
206772,Williamsburg Exposed Brick Loft
206957,Bright Modern Charming Housebarge
208148,Central Bedford Avenue Apartment
208889,Welcome to Brooklyn! Bed-Stuy
209310,Sunnyside NYC/ AC room/ city views/ near Midtown
211078,Greenpoint Waterfront Loft
211974,East Village House -- Unique!
212109,2-bedroom share in heart of Greenwich Village!
212178,1 Bedroom Pre War apt
212544,Quiet One Bedroom in Park Slope
213272,CreaTive Live-In Artspace/Birdsnest
213330,RARE Penthouse Oasis featured on DesignSponge
214917,New Clean Spacious Bed & Breakfast
215560,"Sunny, calm room in Victorian home"
215784,Modern Unique Studio in NYC
215907,"2 Bed, 2 Bath Apartment on Central Park West"
217580,"Luxury Furnished 1 bedro, Bay Ridge"
218358,Your Haven in the Upper West Side
219066,"Wonderful Studio In Brooklyn, NY!!!"
219482,A Cozy Brooklyn Hideaway
219793,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿
219818,✿✿✿ COUNTRY COTTAGE IN THE CITY✿✿✿
