neighbourhood_group,neighbourhood,latitude,longitude,neighbourhood_id
Brooklyn,Kensington,40.64749,-73.97237,1
Manhattan,Midtown,40.75362,-73.98377,2
Manhattan,Harlem,40.80902,-73.9419,3
Brooklyn,Clinton Hill,40.68514,-73.95976,4
Manhattan,East Harlem,40.79851,-73.94399,5
Manhattan,Murray Hill,40.74767,-73.975,6
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,7
Manhattan,Hell's Kitchen,40.76489,-73.98493,8
Manhattan,Upper West Side,40.80178,-73.96723,9
Manhattan,Chinatown,40.71344,-73.99037,10
Manhattan,Upper West Side,40.80316,-73.96545,11
Manhattan,Hell's Kitchen,40.76076,-73.98867,12
Brooklyn,South Slope,40.66829,-73.98779,13
Manhattan,Upper West Side,40.79826,-73.96113,14
Manhattan,West Village,40.7353,-74.00525,15
Brooklyn,Williamsburg,40.70837,-73.95352,16
Brooklyn,Fort Greene,40.69169,-73.97185,17
Manhattan,Chelsea,40.74192,-73.99501,18
Brooklyn,Crown Heights,40.67592,-73.94694,19
Manhattan,East Harlem,40.79685,-73.94872,20
Brooklyn,Williamsburg,40.71842,-73.95718,21
Brooklyn,Park Slope,40.68069,-73.97706,22
Brooklyn,Park Slope,40.67989,-73.97798,23
Brooklyn,Park Slope,40.68001,-73.97865,24
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,25
Brooklyn,Windsor Terrace,40.65599,-73.97519,26
Manhattan,Inwood,40.86754,-73.92639,27
Manhattan,Hell's Kitchen,40.76715,-73.98533,28
Manhattan,Inwood,40.86482,-73.92106,29
Manhattan,East Village,40.7292,-73.98542,30
Manhattan,Harlem,40.82245,-73.95104,31
Manhattan,Harlem,40.81305,-73.95466,32
Brooklyn,Greenpoint,40.72219,-73.93762,33
Manhattan,Harlem,40.8213,-73.95318,34
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,35
Brooklyn,South Slope,40.66869,-73.9878,36
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,37
Brooklyn,Bushwick,40.70186,-73.92745,38
Brooklyn,Flatbush,40.63702,-73.96327,39
Manhattan,Lower East Side,40.71401,-73.98917,40
Manhattan,East Village,40.7229,-73.98199,41
Brooklyn,South Slope,40.66278,-73.97966,42
Brooklyn,Fort Greene,40.69673,-73.97584,43
Manhattan,Upper West Side,40.79009,-73.97927,44
Manhattan,Harlem,40.81175,-73.94478,45
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,46
Queens,Long Island City,40.74771,-73.9474,47
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,48
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,49
Brooklyn,Fort Greene,40.69142,-73.97376,50
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,51
Manhattan,Upper West Side,40.78635,-73.97008,52
Brooklyn,Williamsburg,40.7042,-73.9356,53
Brooklyn,Greenpoint,40.73506,-73.95392,54
Manhattan,Kips Bay,40.73961,-73.98074,55
Brooklyn,Williamsburg,40.70881,-73.9593,56
Manhattan,Lower East Side,40.72004,-73.99104,57
Manhattan,Hell's Kitchen,40.75531,-73.99293,58
Brooklyn,Greenpoint,40.72401,-73.93788,59
Manhattan,SoHo,40.7221,-73.99775,60
Brooklyn,Williamsburg,40.71185,-73.96204,61
Manhattan,Chelsea,40.74623,-73.9953,62
Manhattan,Upper East Side,40.77065,-73.95269,63
Brooklyn,Prospect Heights,40.67811,-73.96428,64
Brooklyn,Clinton Hill,40.69,-73.96788,65
Manhattan,Hell's Kitchen,40.75979,-73.99119,66
Brooklyn,Park Slope,40.67343,-73.98338,67
Manhattan,East Village,40.72649,-73.97904,68
Brooklyn,Williamsburg,40.70933,-73.96792,69
Manhattan,East Village,40.72298,-73.98474,70
Manhattan,East Harlem,40.80164,-73.93922,71
Manhattan,East Village,40.72162,-73.98008,72
Manhattan,Hell's Kitchen,40.76342,-73.98865,73
Manhattan,Washington Heights,40.83139,-73.94095,74
Brooklyn,Clinton Hill,40.68346,-73.96374,75
Manhattan,East Village,40.72828,-73.98801,76
Manhattan,Upper East Side,40.76865,-73.95058,77
Queens,Woodside,40.75038,-73.90334,78
Brooklyn,Fort Greene,40.6932,-73.97267,79
Manhattan,Chelsea,40.74138,-74.00197,80
Brooklyn,Williamsburg,40.71154,-73.96112,81
Manhattan,Harlem,40.82915,-73.95136,82
Manhattan,Lower East Side,40.71851,-73.98892,83
Brooklyn,Flatbush,40.65401,-73.96323,84
Manhattan,Lower East Side,40.7114,-73.98794,85
Brooklyn,Brooklyn Heights,40.69723,-73.99268,86
Brooklyn,Williamsburg,40.71833,-73.95748,87
Manhattan,East Village,40.72334,-73.9844,88
Manhattan,East Village,40.72912,-73.98057,89
Brooklyn,Williamsburg,40.71156,-73.96218,90
Brooklyn,Bushwick,40.70032,-73.9383,91
Brooklyn,Prospect Heights,40.68233,-73.97261,92
Brooklyn,Clinton Hill,40.68634,-73.966,93
Brooklyn,Prospect Heights,40.68035,-73.97162,94
Brooklyn,Williamsburg,40.70984,-73.95775,95
Brooklyn,Bushwick,40.70093,-73.92609,96
Manhattan,Upper West Side,40.79764,-73.96177,97
Manhattan,Harlem,40.82803,-73.94731,98
Manhattan,Chelsea,40.74008,-74.00271,99
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,100
Manhattan,Harlem,40.82279,-73.95139,101
Brooklyn,Carroll Gardens,40.67967,-74.00154,102
Manhattan,Washington Heights,40.83927,-73.94281,103
Manhattan,West Village,40.73096,-74.00319,104
Brooklyn,Williamsburg,40.71332,-73.94177,105
Brooklyn,Park Slope,40.66941,-73.98109,106
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,107
Brooklyn,Williamsburg,40.71459,-73.94844,108
Manhattan,Harlem,40.8092,-73.94421,109
Brooklyn,Gowanus,40.68157,-73.98989,110
Manhattan,Hell's Kitchen,40.75527,-73.99291,111
Brooklyn,Clinton Hill,40.68698,-73.96572,112
Manhattan,East Village,40.7288,-73.98192,113
Brooklyn,South Slope,40.66853,-73.98912,114
Manhattan,East Village,40.7254,-73.98157,115
Manhattan,Kips Bay,40.74294,-73.98009,116
Brooklyn,Williamsburg,40.71942,-73.95748,117
Manhattan,Upper West Side,40.77823,-73.97637,118
Manhattan,East Village,40.72555,-73.97965,119
Brooklyn,South Slope,40.66831,-73.98604,120
Manhattan,Harlem,40.82754,-73.94919,121
Brooklyn,South Slope,40.66499,-73.97925,122
Manhattan,Upper West Side,40.77842,-73.97556,123
Manhattan,East Village,40.72245,-73.98527,124
Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,125
Brooklyn,Williamsburg,40.71923,-73.96468,126
Manhattan,Upper East Side,40.778,-73.94822,127
Manhattan,Washington Heights,40.85879,-73.93128,128
Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,129
Manhattan,Harlem,40.81618,-73.94894,130
Brooklyn,Clinton Hill,40.68414,-73.96351,131
Manhattan,East Village,40.72392,-73.99143,132
