listing_id,host_id,neighbourhood_id,room_type_id,date_id,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2539,2787,1,1,1,149,1,9,0.21,6,365
2595,2845,2,2,2,225,1,45,0.38,2,355
3647,4632,3,1,3,150,3,0,0.0,1,365
3831,4869,4,2,4,89,1,270,4.64,1,194
5022,7192,5,2,5,80,10,9,0.1,1,0
5099,7322,6,2,6,200,3,74,0.59,1,129
5121,7356,7,1,7,60,45,49,0.4,1,0
5178,8967,8,1,8,79,2,430,3.47,1,220
5203,7490,9,1,9,79,2,118,0.99,1,0
5238,7549,10,2,10,150,1,160,1.33,4,188
5295,7702,11,2,6,135,5,53,0.43,1,6
5441,7989,12,1,11,85,2,188,1.5,1,39
5803,9744,13,1,8,89,4,167,1.34,3,314
6021,11528,14,1,4,85,2,113,0.91,1,333
6090,11975,15,2,12,120,90,27,0.22,1,0
6848,15991,16,2,13,140,2,148,1.2,1,46
7097,17571,17,2,14,215,2,198,1.72,1,321
7322,18946,18,1,15,140,1,260,2.12,1,12
7726,20950,19,2,6,99,3,53,4.44,1,21
7750,17985,20,2,3,190,7,0,0.0,2,249
7801,21207,21,2,16,299,3,9,0.07,1,0
8024,22486,22,1,15,130,2,130,1.09,6,347
8025,22486,23,1,17,80,1,39,0.37,6,364
8110,22486,24,1,18,110,2,71,0.61,6,304
8490,25183,25,2,19,120,2,88,0.73,2,233
8505,25326,26,1,11,60,1,19,1.37,2,85
8700,26394,27,1,3,80,4,0,0.0,1,0
9357,30193,28,2,20,150,10,58,0.49,1,75
9518,31374,29,1,21,44,3,108,1.11,3,311
9657,21904,30,2,22,180,14,29,0.24,1,67
9668,32294,31,1,23,50,3,242,2.04,3,355
9704,32045,32,1,24,52,2,88,1.42,1,255
9782,32169,33,1,21,55,4,197,1.65,3,284
9783,32294,34,1,15,50,3,273,2.37,3,359
10452,35935,35,1,25,70,1,74,0.66,2,269
10962,9744,36,1,26,89,4,168,1.41,3,340
11452,7355,37,1,3,35,60,0,0.0,1,365
11708,44145,38,2,6,85,2,231,1.96,2,22
11943,45445,39,1,3,150,1,0,0.0,1,365
12048,7549,40,3,4,40,1,214,1.81,4,188
12192,46978,41,1,26,68,2,245,2.08,2,96
12299,47610,42,2,27,120,3,15,0.39,1,345
12303,47618,43,1,28,120,7,25,0.23,1,311
12318,16800,44,1,29,135,4,81,0.69,1,273
12343,47727,45,2,30,150,7,97,0.84,1,309
12627,49670,46,2,31,150,29,11,0.49,1,95
12937,50124,47,1,15,130,3,248,2.25,1,215
12940,50148,48,2,32,110,7,61,0.52,1,265
13050,50846,49,2,33,115,3,11,0.1,1,0
13394,52335,50,1,34,80,3,135,1.16,2,192
13808,54275,51,1,29,80,1,112,1.01,3,251
14287,56094,52,2,35,151,2,73,0.63,1,302
14290,56104,53,2,36,228,3,82,0.7,1,140
14314,56246,54,2,13,144,2,328,2.82,1,234
14322,56284,55,2,37,200,7,19,0.22,1,257
14377,56512,56,2,6,150,30,105,0.9,1,30
14991,59023,57,1,38,110,5,19,0.17,1,301
15220,59734,58,1,10,69,2,289,2.49,2,294
15338,32169,59,1,39,49,4,138,1.19,3,320
15341,60049,60,2,13,180,30,21,0.3,1,154
15385,60252,61,1,40,80,2,42,0.38,1,263
15396,60278,62,2,41,375,180,5,0.12,1,180
15711,61491,63,2,42,250,2,66,0.57,2,231
16326,63588,64,2,43,200,30,143,1.33,2,297
16338,63613,65,1,44,55,7,27,0.23,2,292
16421,63924,66,1,45,52,30,191,1.65,1,191
16458,64056,67,2,46,225,3,4,0.16,1,0
16580,64442,68,1,15,80,1,338,4.72,2,72
16595,64522,69,2,11,275,1,148,1.4,1,362
16821,4396,70,1,26,99,1,106,1.26,2,336
16974,65837,71,2,11,225,4,190,1.64,1,215
17037,66035,72,2,47,230,9,49,0.43,1,116
17092,66243,73,1,23,51,7,23,0.43,1,88
